X,Y,TYPE
2932,1827,MOVE
2930,1831,MOVE
2925,1838,MOVE
2920,1849,MOVE
2910,1878,MOVE
2895,1939,MOVE
2875,2052,MOVE
2875,2184,MOVE
2891,2339,MOVE
2947,2509,MOVE
3044,2677,MOVE
3169,2835,MOVE
3321,2990,MOVE
3544,3218,MOVE
3544,3218,UP
3544,3218,MOVE
3544,3218,DOWN
2897,2464,MOVE
2892,2465,MOVE
2889,2466,MOVE
2884,2468,MOVE
2879,2469,MOVE
2874,2471,MOVE
2870,2473,MOVE
2866,2474,MOVE
2863,2475,MOVE
2860,2476,MOVE
2857,2476,MOVE
2853,2477,MOVE
2852,2478,MOVE
2852,2478,UP
2852,2478,MOVE
2852,2478,DOWN
2710,2076,MOVE
2709,2077,MOVE
2711,2078,MOVE
2711,2078,UP
2711,2078,MOVE
2711,2078,DOWN
1236,3584,MOVE
1237,3584,MOVE
1240,3584,MOVE
1243,3583,MOVE
1243,3583,UP
1243,3583,MOVE
1243,3583,DOWN
3229,1895,MOVE
3232,1893,MOVE
3234,1893,MOVE
3239,1892,MOVE
3239,1892,UP
3239,1892,MOVE
3239,1892,DOWN
1534,3456,MOVE
1532,3456,MOVE
1528,3455,MOVE
1525,3455,MOVE
